id,flag,title,content
cfe08db134a44024a78824ae216dcb15,0,定的25s尊贵下周到但出厂日期可能是18年12月份的可以吗,　　今天销售说下周车可以到，但由于我想要的25s琥珀金马上停产所以几乎没有现车，最后给我联系了一下外省经销商说是还有，但出厂日期可能不是特别近，有可能是18年底出厂的，不知道还可不可以提车   　　心里悬着不托底 
b6af9c39301c47d3897b26cdc49f6c08,0,都是金属漆，白色也是，白色叫白珍珠，其它的白不是金属漆,都是金属漆，白色也是，白色叫白珍珠，其它的白不是金属漆
9ca24b3688e442eb9fa691869086e0c9,1,独立航空座椅哪位老板都舒服,　　独立航空座椅哪位老板都舒服       
e8335e7ebdb24247b7c2dc900b4c4cea,0,"对的，厂家送的首保和二保，工时费和材料费全免的，放心吧，提车后的半年或者5000公里免费首次保养，时间和里程哪个先到为准,别听4s忽悠，首保不要那么早去，你首保提前了，之后的保养周期也要相应的提前，不划算的，按保养手册的要求来就可以了，以厂家的要求为准，","对的，厂家送的首保和二保，工时费和材料费全免的，放心吧，提车后的半年或者5000公里免费首次保养，时间和里程哪个先到为准,别听4s忽悠，首保不要那么早去，你首保提前了，之后的保养周期也要相应的提前，不划算的，按保养手册的要求来就可以了，以厂家的要求为准，"
d9cc2c5eda3b4114b20487f5747908bd,1,对的，威霆的内饰真心要吐槽一下V级的内饰买来的时候还可以，但是有人也愿意改的,对的，威霆的内饰真心要吐槽一下V级的内饰买来的时候还可以，但是有人也愿意改的
4decc71bbce94c27882ec8c32467d776,0,多少米？改,多少米？改
729c54784b724c6b9861e5f015df3d65,0,多少钱？联系方式？,多少钱？联系方式？
e76f0a078ce5410ebd2d3cddadd7e91d,0,多牙儿，都是一些小改装店,多牙儿，都是一些小改装店
c70205029bec4c3699852c1534e0fd4f,0,二手车价有地区差异，并且差别可能会比较大，建议参考二手车之家中本地车友的报价。,二手车价有地区差异，并且差别可能会比较大，建议参考二手车之家中本地车友的报价。
870df4af7a3c492bb4531c9a93345a0b,0,二手车其实你可以去二手车网站看看同样车况和里程的车价格参考一下嘛，网上的价格减少一些就是了。试驾实车车况决定价值。,二手车其实你可以去二手车网站看看同样车况和里程的车价格参考一下嘛，网上的价格减少一些就是了。试驾实车车况决定价值。
6e08a1d1d64d4e45ac13c357ef64c98c,0,发点美食发点车,　　一、吃的                 　　二、车            　　最后以GL8结束作业
0dc051237f974758a60db0138cdbcdf4,1,发动机故障灯，熄火隔段时间就灭了，电脑检测是燃油系统问题，更新就好了,发动机故障灯，熄火隔段时间就灭了，电脑检测是燃油系统问题，更新就好了
14d3fe9fc32a4181b0d73fd955e2654b,0,发个纯娱乐贴，大家看看,
